Designator Footprint               Mid X         Mid Y         Ref X         Ref Y         Pad X         Pad Y TB      Rotation Comment        

JP2        HDR_1x2_2R54_V_M_S       -300mil       2250mil       -300mil       2200mil       -300mil       2200mil  T         90.00                
JP1        HDR_1x2_2R54_V_M_S        950mil       2920mil        900mil       2920mil        900mil       2920mil  T          0.00                
D5         SOD-323               1422mil       2251mil       1422mil       2251mil   1374.756mil       2251mil  T        360.00 BAT60JFILM     
D3         SOD-323               1422mil       2408mil       1422mil       2408mil   1374.756mil       2408mil  T        360.00 BAT60JFILM     
D1         SOD-323                 34mil       2830mil         34mil       2830mil    -13.244mil       2830mil  T        360.00 BAT60JFILM     
D2         SOD-323               1147mil       2738mil       1147mil       2738mil       1147mil   2690.756mil  T         90.00 BAT60JFILM     
CN2        HDR_1x2_2R54_V_M       -300mil       2850mil       -300mil       2900mil       -300mil       2900mil  T        270.00                
CN3        HDR_1x2_2R54_V_M       2200mil       2850mil       2200mil       2900mil       2200mil       2900mil  T        270.00                
CN5        HDR_1x2_2R54_V_M_S    299.693mil       2250mil    299.693mil       2200mil    299.693mil       2200mil  T         90.00                
CN4        HDR_1x4_2R54_V_M        300mil       2750mil        300mil       2900mil        300mil       2900mil  T        270.00 Header 4       
CN6        HDR_1x6_2R54_V_M       -100mil       2450mil       -100mil       2700mil       -100mil       2700mil  T        270.00 Header 6X1     
C4         0603C                 1639mil       2601mil       1639mil       2601mil       1639mil   2569.504mil  T         90.00 100nF          
C43        0603C                 1466mil       -582mil       1466mil       -582mil   1434.504mil       -582mil  T        360.00 30pF           
C48        0603C                  671mil       -861mil        671mil       -861mil    639.504mil       -861mil  T        360.00 100nF          
C45        0603C                 1466mil       -732mil       1466mil       -732mil   1434.504mil       -732mil  T        360.00 30pF           
C44        0603C                 1108mil       -742mil       1108mil       -742mil   1139.496mil       -742mil  T        180.00 100nF          
C41        0603C                 1108mil       -547mil       1108mil       -547mil   1076.504mil       -547mil  T        360.00 1uF_X5R_0603   
C46        TAN-A                  599mil       -785mil        599mil       -785mil        654mil       -785mil  T        360.00 10uF           
C47        0603C                  790mil       -801mil        790mil       -801mil    758.504mil       -801mil  T        360.00 100nF          
C40        0603C                  914mil       -447mil        914mil       -447mil        914mil   -415.504mil  T        270.00 100nF          
C42        0603C                 1108mil       -606mil       1108mil       -606mil   1139.496mil       -606mil  T        180.00 470pF          
C50        0603C                 1497mil      -1145mil       1497mil      -1145mil       1497mil  -1113.504mil  T        270.00 100nF          
C54        TAN-A                  703mil      -2024mil        703mil      -2024mil        648mil      -2024mil  T        180.00 4.7uF          
C27        0603C                 1491mil        945mil       1491mil        945mil   1459.504mil        945mil  T        360.00 100nF          
C24        0603C                  573mil       1151mil        573mil       1151mil        573mil   1119.504mil  T         90.00 100nF          
C33        0603C                  402mil        252mil        402mil        252mil    433.496mil        252mil  T        180.00 100nF          
C32        0603C                 1491mil        295mil       1491mil        295mil   1459.504mil        295mil  T        360.00 100nF          
C58        0603C                  916mil         37mil        916mil         37mil        916mil     68.496mil  B        270.00 100nF          
C31        0603C                 1491mil        551mil       1491mil        551mil   1459.504mil        551mil  T        360.00 100nF          
C29        0603C                 1491mil        748mil       1491mil        748mil   1459.504mil        748mil  T        360.00 100nF          
C26        0603C                 1082mil       1140mil       1082mil       1140mil       1082mil   1108.504mil  T         90.00 100nF          
C25        0603C                  891mil       1151mil        891mil       1151mil        891mil   1119.504mil  T         90.00 100nF          
C28        0603C                  407mil        708mil        407mil        708mil    438.496mil        708mil  T        180.00 100nF          
C30        0603C                  402mil        512mil        402mil        512mil    433.496mil        512mil  T        180.00 100nF          
C39        0603C                 1324mil     -297.4mil       1324mil     -297.4mil       1324mil   -265.904mil  T        270.00 100nF          
C34        0603C                 1208mil         65mil       1208mil         65mil   1239.496mil         65mil  T        180.00 100nF          
C57        0603C              779.701mil         78mil    779.701mil         78mil    748.205mil         78mil  B        360.00 1uF_X5R_0603   
C55        TAN-A                  425mil       1185mil        425mil       1185mil        425mil       1130mil  B        270.00 2.2uF_X7R      
C53        0603C                 1830mil      -1742mil       1830mil      -1742mil       1830mil  -1710.504mil  T        270.00 100nF          
C38        0603C                 1091mil       -214mil       1091mil       -214mil       1091mil   -182.504mil  T        270.00 4.3pF[N/A]     
C37        0603C                 1016mil       -213mil       1016mil       -213mil       1016mil   -181.504mil  T        270.00 4.3pF[N/A]     
C36        0603C                  807mil       -168mil        807mil       -168mil        807mil   -136.504mil  T        270.00 2pF            
C35        0603C                  709mil       -168mil        709mil       -168mil        709mil   -136.504mil  T        270.00 2pF            
C52        0603C                   18mil      -1742mil         18mil      -1742mil         18mil  -1710.504mil  T        270.00 [N/A]          
C19        0603C                 1259mil       1519mil       1259mil       1519mil       1259mil   1550.496mil  T        270.00 100nF          
C22        0603C                 1396mil       1366mil       1396mil       1366mil       1396mil   1334.504mil  T         90.00 100nF          
C20        0603C                 1318mil       1519mil       1318mil       1519mil       1318mil   1487.504mil  T         90.00 1uF_X5R_0603   
C23        0603C                 1455mil       1366mil       1455mil       1366mil       1455mil   1397.496mil  T        270.00 1uF_X5R_0603   
C11        0603C                 2162mil       2193mil       2162mil       2193mil   2193.496mil       2193mil  T        180.00 100nF          
